model,est_usd
claude-haiku-4-5-20251001,0.003
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
claude-haiku-4-5-20251001,0.003
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
claude-haiku-4-5-20251001,0.003
claude-haiku-4-5-20251001,0.003
claude-haiku-4-5-20251001,0.003
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
claude-haiku-4-5-20251001,0.003
claude-sonnet-5,0.01
